course_name,instructor,course url,course description,reviews_avg,reviews_count,course_duration,level
HMI Programming & Design - FactoryTalk View ME SCADA PLC,Vladimir Romanov,https://www.udemy.com/course/hmi-programming-design-factorytalk-view-me-scada-plc/,HMI Programming SCADA PLC Systems Design | Develop HMI PLC Applications in Factory Talk View ME,4.3,818 reviews,7 total hours,All Levels
Beat the Codility Coding Interview in Java,James Cutajar,https://www.udemy.com/course/beat-the-codility-coding-interview-in-java/,Learn and practice how to solve many coding puzzles from Codility using Java,4.5,816 reviews,6.5 total hours,All Levels
Introduction to the MongoDB,"Bogdan Stashchuk | Software Engineer, MBA, PhD",https://www.udemy.com/course/introduction-to-the-mongodb/,"Short and Friendly Introduction to the MongoDB. Learn, understand and practice fundamentals of the MongoDB.",4.3,816 reviews,1.5 total hours,Beginner
SAP ABAP on HANA +HANA Modelling for Beginners with Hands-On,Vishal Saxena,https://www.udemy.com/course/sap-abap-on-hana-hana-modelling-for-beginners-with-hands-on/,Best Course to Learn SAP ABAP on HANA + HANA Modelling in an easy Step by Step manner with Practical Examples,4.3,816 reviews,4.5 total hours,All Levels
Web Development | HTML | CSS | JavaScript | jQuery | NodeJS,Web University by Harsha Vardhan,https://www.udemy.com/course/ui-technologies-indepth/,Full Stack Web Development Bootcamp | HTML Project | HTML 5 | CSS 3 | JavaScript | Bootstrap | ES6 | jQuery | NodeJS,4.7,815 reviews,62.5 total hours,All Levels
Professional Java Developer Career Starter: Java Foundations,Terry Martin,https://www.udemy.com/course/neutrino-java-foundations/,"Covers Java 17 & Earlier, Streams/Lambdas, Regex, TDD/Testing, Optionals, JDBC/SQL Intro to Spring & More Using IntelliJ",4.7,814 reviews,88 total hours,Beginner
React Redux Ecommerce - Master MERN Stack Web Development,Ryan Dhungel,https://www.udemy.com/course/react-redux-ecommerce/,Build one of The Biggest Real World MERN Stack E-commerce Project using React Redux Node MongoDB and Ant Design,4.3,813 reviews,43 total hours,All Levels
iPhone App Programming for Noobs - UPDATED iOS 9 Swift 2,"Nick Walter, Jenna Miller",https://www.udemy.com/course/ios-9-swift-2-xcode-7-make-an-app-programming-code-ios9-dev/,"The exciting class that takes you on an adventure to learn how to make iOS 9 iPhone apps, using Swift 2 and Xcode 7.",3.8,813 reviews,26.5 total hours,All Levels
Oracle Fusion Technical-Business Intelligence & OTBI Reports,Ravinder Reddy Guduru,https://www.udemy.com/course/oracle-fusion-technical-bi-publisher-reports/,Oracle Fusion(Oracle Cloud) Techincal Training SAAS (R13 ) - Bi Publisher Reports For Oracle Apps Technical Developers,4.2,812 reviews,19 total hours,Intermediate
The Complete Android App Development Masterclass: Build Apps,"Meisam Mansourzadeh, Joe Parys",https://www.udemy.com/course/androidappcourse/,Create Real World Applications using Java and Become A Professional Android App Developer From Scratch Today!,4.5,812 reviews,39.5 total hours,All Levels
The Complete Bootstrap Masterclass Course - Build 4 Projects,"Joe Parys, Shahzaib Kamal, Joe Parys Support",https://www.udemy.com/course/bootstrapcourse/,In this complete course students will learn how to build 4 projects using bootstrap and other website development tools,4.4,811 reviews,7 total hours,All Levels
Logistic Regression in Python,Start-Tech Academy,https://www.udemy.com/course/machine-learning-basics-classification-models-in-python/,Logistic regression in Python tutorial for beginners. You can do Predictive modeling using Python after this course.,4.6,808 reviews,7.5 total hours,All Levels
*UPDATED* DOM 2022 Build Dynamic Websites JavaScript Part 1,Clyde Matthew,https://www.udemy.com/course/build-interactive-websites-1/,Understand DOM (Document Object Model). Crucial for front end web development. Novice to Pro in easy steps.Course 1 of 2,4.9,807 reviews,5.5 total hours,All Levels
Stored Procedures Unpacked: Learn to Code T-SQL Stored Procs,Kris Wenzel,https://www.udemy.com/course/stored-procedures-unpacked-learn-to-code-t-sql-stored-procs/,"Learn to develop, code, & implement stored procedures, transactions, & cursors, in your SQL Server database using T-SQL.",4.4,807 reviews,5 total hours,All Levels
The Complete Java Game Development Course for 2022,"Martin Yanev, Plamen Yanev",https://www.udemy.com/course/java-games-development/,Develop Java games from scratch: From Beginner to Expert,4.5,806 reviews,8 total hours,All Levels
Learn jQuery - For Beginners,YouAccel Training,https://www.udemy.com/course/learn-jquery-for-beginners/,"Learn to create animated, interactive web pages using jQuery Library",4.4,806 reviews,1.5 total hours,Beginner
SQL Server Administration: (SQL Server Integration Services),Raphael Asghar,https://www.udemy.com/course/sql-server-administration-sql-server-integration-services/,Learn how to create SSIS packages that allow migration of data from source to destination,4.1,806 reviews,5.5 total hours,Beginner
JavaScript Complete Beginners Course For Web Development,Funky Programmer,https://www.udemy.com/course/javascript-beginnerscourse/,"JavaScript tutorial for Beginner, JavaScript Loop ,JS function,  JavaScript ES6, JavaScript DOM, Modern JavaScript",3.8,805 reviews,12.5 total hours,Beginner
The Full Stack Web Development Bootcamp 2022,Darragh O'Neill,https://www.udemy.com/course/the-full-stack-web-development-bootcamp-2020/,"Learn HTML, CSS, JavaScript, jQuery, PHP & mySQL to become a talented, confident full-stack web developer in 2022.",4.6,805 reviews,31.5 total hours,All Levels
Computer Programming for Beginners,Robert Gioia,https://www.udemy.com/course/computer-programming-for-beginners/,Learn the basic concepts of programming using Python and JavaScript,4.4,804 reviews,2 total hours,Beginner
"Complete Vue.js 3  (Inc. Composition API, Vue Router, Vuex)",Lachlan Miller,https://www.udemy.com/course/complete-vuejs-3-crash-course-composition-api-vue-router-vuex/,"(RE-RECORDED April 2021) Vue.js 3 is here! Learn from ""Hello, Vue!"" to building large apps with Vuex and Vue Router.",4.5,804 reviews,5.5 total hours,Beginner
Develop Full iOS Instagram Clone App in Swift & Xcode,Akhmed Idigov,https://www.udemy.com/course/create-instagram-swift-xcode/,Best Swift Course Ever | Build Complete Instagram Clone | All Features & Functionalities | Build Your iOS Social Network,3.5,804 reviews,20 total hours,All Levels
Software Testing : Learn Manual/QA Testing + ISTQB CTFL Help,"Engineering Mentor, Pratibha B.",https://www.udemy.com/course/software-testing-and-career-in-qa/,"Software Testing Course for learning Test Fundamentals,QA Manual Testing, STLC, Automation Basics & ISTQB CTFL Help",3.9,803 reviews,6.5 total hours,All Levels
Spring Framework DevOps on AWS,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy",https://www.udemy.com/course/spring-core-devops-on-aws/,Deploy Spring Boot Applications to the Cloud on AWS,4.6,802 reviews,7 total hours,Intermediate
The Complete WordPress Theme Development Course,"Alexander Oni, Lab",https://www.udemy.com/course/the-complete-wordpress-development-customization-course/,"Learn about WordPress Theme development including custom WordPress functions, page templates, tags, sidebars and more",4.6,798 reviews,12.5 total hours,Expert
"ES6, ES7 & ES8, TIME to update your JavaScript / ECMAScript!",Robert Bunch,https://www.udemy.com/course/es6-es7-and-es8-its-time-to-update-your-javascript/,ECMAScript Next is here. It's time to modernize your JavaScript.,4.5,796 reviews,13 total hours,All Levels
Data Visualize Data with D3.js The Easy Way,Infinite Skills,https://www.udemy.com/course/data-visualize-data-with-d3js-the-easy-way/,Learn how to use D3.js to create data driven graphics and documents. A beginners guide to getting started with D3,4.1,795 reviews,4 total hours,All Levels
Mendix : Low-code Application Development Course,Tarik Subaşı,https://www.udemy.com/course/mendix-low-code-application-development-course/,Learn How to develope Low Code Mobile and Web Applications with Mendix.,4.5,794 reviews,6.5 total hours,Beginner
The Complete SQL Course 2022 - Learn by Doing - SQL Server,Daniel Tait,https://www.udemy.com/course/the-complete-sql-course-2021-learn-by-doing/,Master SQL and Database Design in this SQL Bootcamp - Use Advanced Queries for Data Analysis and Analytics - SQL Server,4.6,794 reviews,12.5 total hours,All Levels
The Ultimate MySQL Crash Course 2022,Web Coding,https://www.udemy.com/course/the-ultimate-mysql-crash-course-2021/,Learn MySQL in No Time,4.2,792 reviews,2.5 total hours,Beginner
Ultimate ASP.NET Core Web API Development Guide,Trevoir Williams,https://www.udemy.com/course/ultimate-aspnet-5-web-api-development-guide/,"Learn how to create a maintainable Web API using ASP.NET Core, Entity Framework and Enterprise Level Design Patterns",4.6,792 reviews,10 total hours,All Levels
Get Expertise in Database Testing(SQL) + Linux for Testers,Automation World,https://www.udemy.com/course/sql-for-testers/,E2E Setup Installation |E2E Database Testing  coverage|| Joins | Grouping|DDL|DML|DRL|Unix /Linux commands +Shell Script,4.5,790 reviews,18.5 total hours,All Levels
Dart Course for Beginners,Rahul From Spizen Studio,https://www.udemy.com/course/dartlang/,Learn the fundamentals of Dart Programming,4.0,790 reviews,3 total hours,All Levels
LeetCode in Java: Algorithms Coding Interview Questions,Md. A. Barik,https://www.udemy.com/course/leetcode-coding-interview-question-solution-explanation/,Ace your next coding interview by solving essential coding interview questions and get an offer from big tech company.,4.3,790 reviews,40.5 total hours,All Levels
iOS 11 and Xcode 9 - Complete Swift 4 & Objective-C Course,Aaron Caines,https://www.udemy.com/course/ios-11-xcode-9-swift-4/,A Complete iOS 11 and Xcode 9 Course with Swift 4 & Objective-C,4.6,789 reviews,59 total hours,Beginner
Elementor - Build Amazing WordPress Pages With Elementor,"Alexander Oni, Iulian Stanescu",https://www.udemy.com/course/elementor-101-build-amazing-wordpress-pages-with-no-coding/,Master how to use the Elementor plugin to build amazing pages and implement great design on your WordPress website,4.8,787 reviews,8.5 total hours,All Levels
"REST API Automation:REST Assured,Serenity BDD Framework",Tejasvi Hegde,https://www.udemy.com/course/rest-api-automation-with-rest-assuredserenity-bdd-framework/,"Build a robust REST API test automation framework/CI environment using Serenity BDD, Jenkins, Git",4.1,786 reviews,5.5 total hours,All Levels
Python Programming Complete Beginners Course Bootcamp 2022,Dmitry Yedunov,https://www.udemy.com/course/python-programming-complete-beginner-course-bootcamp/,Learn Python Programming. A Premium level course with over 500 examples! No prior knowledge is needed.,4.6,786 reviews,15.5 total hours,Beginner
Katalon Studio Beginners - Hands-on Training,Raghav Pal,https://www.udemy.com/course/katalon-studio-beginners-hands-on-training/,"Complete Katalon Studio Training with Hands-On, Demo, Examples | Step by Step | Web, API, BDD, CI CD, VCS, Git",4.6,786 reviews,17.5 total hours,All Levels
Build a Python REST API with the Django Rest Framework,Justin Mitchel,https://www.udemy.com/course/build-a-python-rest-api-with-the-django-rest-framework/,"Connect devices, front ends, other apps, and much more by creating your own REST API. Learn how in this course.",4.1,785 reviews,10 total hours,Intermediate
Data Science : Master Machine Learning Without Coding,Ram Prasad,https://www.udemy.com/course/hands-on-machine-learning-without-writing-code/,Learn Fundamentals Of Data Science & Machine Learning With Rapidminer (No Coding). Dataset & Solutions Included.,4.5,785 reviews,2.5 total hours,Beginner
Learn SAP® BTP,UI5 Community Network,https://www.udemy.com/course/learn-sap-btp/,"Get started with SAP® BTP Understand SAP® BTP, SAP® Cloud Foundry, SAP® Kyma  and Usage",4.5,785 reviews,5 total hours,All Levels
React JS + Angular + Rails 5 Bootcamp,Jordan Hudgens,https://www.udemy.com/course/angular-on-rails-course/,Learn how to build a real world React JS and Angular apps that utilize Ruby on Rails for a backend API.,4.6,783 reviews,13.5 total hours,Intermediate
Create a Netflix clone from Scratch: JavaScript PHP + MySQL,Reece Kenney,https://www.udemy.com/course/netflix-clone/,"Learn JavaScript, PHP and MySQL by making the ultimate Netflix clone website completely from scratch!",4.8,783 reviews,11.5 total hours,All Levels
"The Data Visualization Course: Excel, Tableau, Python, R",365 Careers,https://www.udemy.com/course/the-complete-data-visualization-course/,"Data visualization in Excel, Tableau, Python, and R. Create stunning charts and learn the most in-demand skills in 2020",4.5,782 reviews,9 total hours,All Levels
Docker for beginners,Samarth Deyagond,https://www.udemy.com/course/docker-for-beginners/,Let's make Docker easy!,4.1,782 reviews,1.5 total hours,Beginner
AJAX : Let's build a COOL project,"Edwin Diaz, Coding Faculty Solutions",https://www.udemy.com/course/ajax-for-beginners-with-jquery-php-mysql-tutorial/,"AJAX: On this course you will get hands on a real AJAX project with PHP, MySQL, Javascript and jQuery.",4.8,782 reviews,3.5 total hours,All Levels
Python Game Development™ : Build 11 Total Games,Sachin Kafle,https://www.udemy.com/course/python-game-development-build-11-total-games/,"Build games like Mario, Angry Bird, Flappy Bird and many more with the Python --Easiest Programming Language",3.5,780 reviews,33.5 total hours,Beginner
Data Visualization in Python Masterclass™: Beginners to Pro,Laxmi Kant,https://www.udemy.com/course/complete-data-visualization-in-python/,"Visualisation in matplotlib, Seaborn, Plotly & Cufflinks,  EDA on Boston Housing, Titanic, IPL, FIFA, Covid-19 Data.",4.8,779 reviews,22 total hours,All Levels
MERN Stack with Blog Project,Tech Academy,https://www.udemy.com/course/mern-stack-with-blog-project/,"Learn, Apply, Build a Blog Project using NodeJs, Express, MongoDB & React",4.0,779 reviews,4.5 total hours,All Levels
Master HTML in 60 mins,Sneha Almeida,https://www.udemy.com/course/master-html-in-70-mins/,The ultimate course for beginners to kickstart programming career,3.8,779 reviews,1 total hour,Beginner
Mastering SQL Server 2016 Integration Services (SSIS)-Part 2,Kameswara Sarma Uppuluri,https://www.udemy.com/course/masteringssis2016part2/,Learn How to Create SSIS Packages From Scratch Step By Step,4.4,778 reviews,13 total hours,All Levels
Rest API Automation With Rest Assured - Novice To Ninja,Lets Kode It,https://www.udemy.com/course/rest-api-automation/,"Join the ""Most Popular"" Rest API Automation Course With Basics To Advanced Level Framework Implementation From Scratch",3.8,778 reviews,14 total hours,All Levels
SEO Training Academy: Learn Search Engine Optimization,Robert Kanaat,https://www.udemy.com/course/seo-training-academy-learn-search-engine-optimization/,Master the art of search engine optimization by learning fundamental SEO principles and techniques in this course.,4.2,778 reviews,9 total hours,All Levels
Build Multiplayer Games With Unity And Photon ( PUN 2),"Tevfik Ufuk DEMİRBAŞ, IRONHEAD Games",https://www.udemy.com/course/build-multiplayer-games-with-unity-and-photon-pun-2/,Multiplayer game development made easy.Learn the basics of Multiplayer games by building from the scratch with Photon.,4.6,778 reviews,11 total hours,Intermediate
Learn Azure step by step.,Shivprasad Koirala,https://www.udemy.com/course/learn-azure/,This course teaches Azure step by step from the perspective of C# developers.,4.5,777 reviews,11.5 total hours,Beginner
C# Console and Windows Forms Development w/ Entity Framework,"Trevoir Williams, Learn IT University, Andrii Piatakha",https://www.udemy.com/course/c-console-and-windows-forms-development-with-linq-adonet/,"Learn to build a practical Data Driven Windows Forms Application using C#, LINQ, Entity Framework and SQL Server.",4.5,775 reviews,15.5 total hours,Beginner
Modern Artificial Intelligence with Zero Coding,"Dr. Ryan Ahmed, Ph.D., MBA, Ligency Team, Ligency I Team, Mitchell Bouchard",https://www.udemy.com/course/modern-artificial-intelligence-with-zero-coding/,"Build 5 Practical Projects & Harness the Power of AI to solve practical, real-world business problems with Zero Coding!",4.6,775 reviews,9.5 total hours,Beginner
Boost Your C# With Structural And Creational Design Patterns,Mark Farragher,https://www.udemy.com/course/boost-your-csharp-code-with-structural-and-creational-design-patterns/,A complete guide to the first 12 structural and creational design patterns from the famous book by the Gang Of Four.,4.8,774 reviews,4 total hours,All Levels
Learn Test Driven Development in Java,Fluent Software Solutions,https://www.udemy.com/course/learn-test-driven-development-in-java/,"Learn everything you need to know about TDD, Test driven development tutorial for Java through real examples.",4.4,774 reviews,3 total hours,All Levels
Flutter - Advanced Course,Bryan Cairns,https://www.udemy.com/course/flutter-advanced-course/,Learn to be a Flutter advanced programmer,3.6,773 reviews,5 total hours,Expert
Laravel 8 - Build Advance Ecommerce Project A-Z,"Kazi Ariyan, easy Learning",https://www.udemy.com/course/laravel-advance-ecommerce-project/,"In This Course, You Will Build Three Different Project With Laravel 8 Include Advance Professional Ecommerce Site A-Z",4.5,773 reviews,99 total hours,All Levels
Salesforce Development & Administration for Beginners,Aslam Tayyab,https://www.udemy.com/course/salesforce-development-and-administration-for-beginners/,Learn Salesforce Development and Administration with awesome examples and this course will make you expert in Salesforce,4.4,772 reviews,10.5 total hours,All Levels
CDI/CD with TeamCity From Beginner to Advanced,Aref Karimi,https://www.udemy.com/course/teamcity-2017-build-and-deploy-the-modern-way/,Continuous Integration and Delivery (CI/CD) with TeamCity for Developers and DevOps,4.3,772 reviews,7 total hours,All Levels
VB.NET  with VS 2017 and Windows Forms,T O,https://www.udemy.com/course/mastervbdotnet/,"With Early OOP, Connections to C# and the .NET Framework Source Code",4.7,772 reviews,13 total hours,All Levels
Make an E-Commerce Website with Blazor WebAssembly in .NET 6,Patrick God,https://www.udemy.com/course/blazor-ecommerce/,"Learn how to build an E-Commerce Website with Blazor WebAssembly, a Web API, Entity Framework Core & SQL Server Express.",4.6,772 reviews,17.5 total hours,Intermediate
Unity 2D Game Developer Course Farming RPG,Rob Ager,https://www.udemy.com/course/unity-2d-game-developer-course-farming-rpg/,Build the core systems for a 2D Farming RPG game using the Unity game engine and C# in this intermediate Unity course.,4.5,771 reviews,44.5 total hours,Intermediate
Machine Learning Real World projects in Python,Shan Singh,https://www.udemy.com/course/machine-learning-real-world-projects-in-python/,Build a Portfolio of Machine Learning Python projects & get a job of Data Scientist/  ML Engineer/ Data Scientist,4.5,771 reviews,13 total hours,All Levels
Learn to Program with Java for Complete Beginners - Part 1,Learn by the Byte,https://www.udemy.com/course/learn-to-program-with-java-1/,"For absolute beginners, this professional training course will teach you how to create programs from scratch using Java.",4.3,768 reviews,7.5 total hours,Beginner
"Angry Birds, Crossy Road & more: Game Development in Swift 4","Timothy Meixner, Johannes Ruof",https://www.udemy.com/course/angry-birds-crossy-road-game-development-swift-4-spritekit-scenekit/,"Learn how to develop mobile games like Angry Birds, Crossy Road, Color Switch and more for iOS11 in Swift 4",4.2,767 reviews,15.5 total hours,All Levels
PostgreSQL High Performance Tuning Guide,Lucian Oprea,https://www.udemy.com/course/postgresql-high-performance-tuning-guide/,Tips for Tuning PostgreSQL like a Pro | Learn how to prevent Postgres performance problems,4.1,766 reviews,2.5 total hours,Intermediate
Ultimate AngularJS: Build a Real-World App from Scratch,"Ryan Chenkie, Code College",https://www.udemy.com/course/ultimate-angularjs-course/,"Build a Single Page App with AngularJS, Angular Material, UI Router, and Firebase. Includes Angular 2 preview!",4.5,765 reviews,5.5 total hours,All Levels
Linux Shell Course for Beginners - Lite,EDUmobile Academy,https://www.udemy.com/course/linux-shell-course-for-beginners-lite/,"This course is teaches the basics of using the linux shell, and is intended as a first course in using the terminal.",4.4,765 reviews,31 total mins,All Levels
The Complete Python 3 Masterclass - From Beginner To Pro,"Denis Panjuta, Tutorials.eu by Denis Panjuta",https://www.udemy.com/course/the-complete-python-masterclass/,"Python for beginners, Learn Python Programming and build your own Python programs: Data Science, Machine Learning, etc.",4.4,764 reviews,27.5 total hours,All Levels
Python Developer | Complete course 2021,Jonathan Roux | CodeWithJonathan | Python - Django - iOS - Android - Kivy,https://www.udemy.com/course/python-developer-complete-course/,"Learn programming by starting from zero, and create powerful projects with Python : Web, Mobile, Games, Desktop",4.6,762 reviews,27.5 total hours,All Levels
HTML5 Specialist: Comprehensive HTML5 Training,Dollar Design School,https://www.udemy.com/course/html5-specialist/,Earn a professional credential while learning HTML5.,4.2,762 reviews,5 total hours,All Levels
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",Le Deng,https://www.udemy.com/course/complete-e-commerce-course-javaspringhibernate-and-mysql/,Step-by-step guide on how to develop a complete E-Commerce website with both front-end and back-end,4.2,761 reviews,20 total hours,All Levels
The Complete Quantum Computing Course,"Codestars • over 2 million students worldwide!, Atil Samancioglu",https://www.udemy.com/course/quantum-computers/,"Learn everything you need to know about Quantum Computers, develop circuits to execute on them with Python and Qiskit!",4.5,761 reviews,15.5 total hours,All Levels
Implement Adobe Analytics - The Ultimate Student Guide,Jasvinder Singh Bhatia,https://www.udemy.com/course/adobe-analytics-implementation-guide/,Get your basics right. Implement Adobe Analytics on your website,4.2,761 reviews,4 total hours,All Levels
Complete Data Analysis with Pandas : Hands-on Pandas Python,"Ankit Mistry, Data Science & Machine Learning Academy",https://www.udemy.com/course/data-analysis-with-pandas-python/,"Learn in demand skill Pandas, Sci-kit Learn, Numpy For Data Science & Machine Learning : Seaborn | MatplotLib  | Python",4.7,760 reviews,17 total hours,All Levels
Mobile Testing Masterclass (2022) From The Beginning,"Ozan Ilhan, Software Testing House By Ozan Ilhan",https://www.udemy.com/course/mobile-testing-masterclass-from-the-beginning/,"Learn Mobile Application Testing and become a Mobile App Tester! Android Studio, ADB, logCat, live projects & more!",4.2,759 reviews,3 total hours,All Levels
Beginner HTML and CSS,Caleb Curry,https://www.udemy.com/course/beginner-html-and-css/,Learn the basics of HTML and CSS.  This series is great review for those who want to develop in something such as PHP.,3.8,759 reviews,5.5 total hours,Beginner
Android Multithreading Masterclass,Vasiliy Zukanov,https://www.udemy.com/course/android-multithreading/,"Complete guide to multithreading in Android. From fundamentals to Thread Pools, RxJava and Kotlin Coroutines.",4.7,759 reviews,11.5 total hours,Beginner
Learn Multithreading in C++,John Purcell,https://www.udemy.com/course/cplusplus-multithreading/,"Modern C++ multithreading: threads, async, tasks, locks, futures, promises, conditions and more.",4.5,759 reviews,3.5 total hours,Intermediate
AJAX Development,"Dollar Design School, Mark Lassoff",https://www.udemy.com/course/ajax-development/,"Create Elegant, Powerful Web and Mobile Applications Using AJAX.",4.8,757 reviews,3 total hours,All Levels
Pattern Detection with Python Regular Expressions (Regex),Chandra Lingam,https://www.udemy.com/course/python-regular-expressions/,"Hands-On : Detect Patterns in Data, Verify Input, Improve Security, Data Cleanup",4.6,756 reviews,3.5 total hours,All Levels
JavaScript Design Patterns: 20 Patterns for Expert Code,Packt Publishing,https://www.udemy.com/course/javascript-design-patterns-20-patterns-for-expert-code/,Dive deep into JavaScript design patterns to write brilliant code for a wide array of real-world programming situations,3.5,756 reviews,3.5 total hours,Expert
Data Analysis in Python with Pandas,Bill Chambers,https://www.udemy.com/course/data-analysis-in-python-with-pandas/,Getting an introduction to doing data analysis with the Python pandas library with hours of video and code.,4.0,756 reviews,5 total hours,Intermediate
What's New in Java 9 - Modules and More!,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",https://www.udemy.com/course/whats-new-in-java-9/,"Improve Your Career Prospects by Learning About New Java 9 Features Like Modules, JShell, Processes and More.",4.1,755 reviews,7.5 total hours,Intermediate
Python for Beginners: Complete Python Programming,Phaninder - Python Programming,https://www.udemy.com/course/python-programming-course/,Python: Learn to code with Python programming language. Start coding in Python. Python Programming for Beginners. Python,4.2,754 reviews,3 total hours,Beginner
"HTML/CSS Bootcamp - Learn HTML, CSS, Flexbox, and CSS Grid",Jordan Hudgens,https://www.udemy.com/course/html-css-code-bootcamp/,"Learn HTML, CSS, Flexbox, and CSS Grid by building a professional website with modern front end development techniques.",4.5,754 reviews,21 total hours,Beginner
Clean architecture & SOLID principles for Android in Kotlin,Catalin Stefan,https://www.udemy.com/course/cleanandroid/,Learn to implement Clean architecture in Android using SOLID principles and MVVM 2022,4.4,754 reviews,3.5 total hours,All Levels
Learn Symfony 3 framework by practical examples,Wojciech Ciolko,https://www.udemy.com/course/learn-symfony-3-framework-by-practical-examples/,"Learn how to build professional web applications using Symfony, one of the most popular PHP framework",3.9,753 reviews,4 total hours,All Levels
The Complete dbt (Data Build Tool) Bootcamp: Zero to Hero,"Zoltan C. Toth, Miklos (Mike) Petridisz",https://www.udemy.com/course/complete-dbt-data-build-tool-bootcamp-zero-to-hero-learn-dbt/,Learn Analytics Engineering with this dbt™ course covering theory & practice through a real-world Airbnb use case.,4.6,752 reviews,5 total hours,All Levels
Learn Advanced T-SQL For SQL Server Administrator,Raphael Asghar,https://www.udemy.com/course/learn-advanced-t-sql-for-sql-server-administrator/,Getting to understand stored procedures,4.3,750 reviews,5.5 total hours,Intermediate
Objective-C Crash Course for Swift Developers,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",https://www.udemy.com/course/objectivec/,Everything you need to know about modern Objective-C to use it professionally,4.2,750 reviews,8.5 total hours,Intermediate
Introduction to Microservices,"EdYoda Digital University, Ashish Pandey",https://www.udemy.com/course/introduction-to-microservices-edyoda/,A beginners guide to understand Microservices.,4.2,750 reviews,1 total hour,Beginner
Optimization with Python: Solve Operations Research Problems,Rafael Silva Pinto,https://www.udemy.com/course/optimization-with-python-linear-nonlinear-and-cplex-gurobi/,"Solve optimization problems with CPLEX, Gurobi, Pyomo... using linear programming, nonlinear, evolutionary algorithms...",4.6,749 reviews,12.5 total hours,All Levels
Bootstrap 4 Ultimate Guide,Learn Tech Plus,https://www.udemy.com/course/learn-advanced-bootstrap-4/,Everything you need to know to Build a 4 Web Page Website with Bootstrap 4,4.0,749 reviews,5.5 total hours,All Levels
Live Project On ASP.Net Core 2.0 MVC(Formerly ASP.Net MVC 5),Manzoor Ahmed,https://www.udemy.com/course/aspnet-mvc-web-app-on-3-tier-architecture/,"EF Core 2.0 Code First With Repository & ASP.Net Core 2.0 MVC with MVVM, DI Patterns & Identity Server For Security...",4.0,749 reviews,10.5 total hours,Intermediate
Rust Programming For Beginners,Jayson Lennon,https://www.udemy.com/course/rust-coding-for-beginners/,Learn the fundamentals of how to code and develop software applications using the Rust programming language.,4.7,749 reviews,11 total hours,Beginner
Text Mining and Natural Language Processing in R,Minerva Singh,https://www.udemy.com/course/text-mining-and-natural-language-processing-in-r/,Hands-on text mining and natural language processing (NLP) training for data science applications in R,4.6,748 reviews,9 total hours,All Levels
Complete Data Wrangling & Data Visualisation With Python,Minerva Singh,https://www.udemy.com/course/complete-data-wrangling-data-visualisation-with-python/,"Learn to Preprocess, Wrangle and Visualise Data For Practical Data Science Applications in Python",4.4,747 reviews,6.5 total hours,All Levels
The Complete Regular Expressions Course with Exercises 2020,Jazeb Akram,https://www.udemy.com/course/the-complete-regular-expressions-course-with-exercises-for-beginners/,Learn All Regular Expressions for PHP Javascript Python Java Ruby Perl and Unix systems with exercises from scratch.,4.6,747 reviews,5.5 total hours,All Levels
From 0 to 1 : Spark for Data Science with Python,Loony Corn,https://www.udemy.com/course/spark-for-data-science-with-python/,"Get your data to fly using Spark for analytics, machine learning and data science​",4.2,745 reviews,8.5 total hours,All Levels
Learn to make a 3D Platformer Game with Unity,James Doyle,https://www.udemy.com/course/unity3dplatformer/,Game development made easy. Learn C# using Unity and create your very own 3D Platformer!,4.7,745 reviews,14 total hours,All Levels
Automate Everything with Python,Ardit Sulce,https://www.udemy.com/course/automate-everything-with-python/,"Learn to build APIs, automate emails, web scraping, chatbots, RegEx, NLP, SQL, GUIs, schedule tasks, and more in Python!",4.7,745 reviews,20.5 total hours,Beginner
Vagrant Up! Comprehensive development system automation,Jason Taylor,https://www.udemy.com/course/vagrant-up/,Go from zero to hero by solving the development system dilemma with automation and versioned configuration with Vagrant ,4.2,744 reviews,4.5 total hours,All Levels
Microsoft Access SQL: SQL for Non-Programmers,IsáBel .,https://www.udemy.com/course/learn-access-sql-from-scratch/,"Learn How You Can Use SQL in Microsoft Access with the Tips, Tools, and Exercises in This Best-Selling Course.",4.7,744 reviews,4 total hours,Beginner
C Programming For Beginners -Build Bank ATM Machine Software,Techwood Academy(India),https://www.udemy.com/course/c-programming-for-beginners-with-real-world-examples/,"C  Programming: Write C Program Like a Pro, Steps For Better Coding in C Programming Language.",4.4,744 reviews,2.5 total hours,All Levels
"Intro to Big Data, Data Science and Artificial Intelligence",Julia Mariasova,https://www.udemy.com/course/introduction-to-big-data-data-science/,"Big Data Technology & Tools for Non-Technical Leaders. Industry expert insights on IoT, AI and Machine Learning for all.",4.7,742 reviews,3.5 total hours,Beginner
Complete Next.js Developer in 2023: Zero to Mastery,"Andrei Neagoie, Ankita Kulkarni, Zero To Mastery",https://www.udemy.com/course/complete-nextjs-developer-zero-to-mastery/,"Master NextJS and build enterprise level fullstack ReactJS apps. Taught by industry expert, using modern best practices!",4.3,741 reviews,37 total hours,All Levels
Ruby Programming for Beginners,Huw Collingbourne,https://www.udemy.com/course/learn-ruby-programming-in-ten-easy-steps/,Learn Ruby Programming the fast and easy way!,4.0,741 reviews,6 total hours,All Levels
